contract name,last traded,strike,last,bid,ask,change,chang%,Volume,Open Int.,Implied Vol,expiry
AAPL190517C00090000,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-1,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-2,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-3,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-4,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-5,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-6,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-7,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-8,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-9,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-10,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-11,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-12,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-13,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-14,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-15,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-16,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-17,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-18,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-19,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-20,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-21,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-22,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-23,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-24,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-25,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-26,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-27,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-28,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-29,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-30,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-31,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-32,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-33,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-34,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-35,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-36,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-37,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-38,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-39,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-40,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-41,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-42,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-43,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-44,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00090000-45,5/1/19 1:19,90,110.93,120.7,122.55,0,0,0,95,2.368168142,5/17/19
AAPL190517C00095000,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-1,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-2,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-3,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-4,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-5,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-6,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-7,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-8,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-9,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-10,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-11,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-12,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-13,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-14,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-15,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-16,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-17,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-18,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-19,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-20,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-21,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-22,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-23,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
AAPL190517C00095000-24,5/1/19 19:06,95,114.59,115.95,117.3,0,0,0,3,2.094731326,5/17/19
